chord_name,notes,chord_type,chord_extension
F#m11,"F#, A, C#, E, G#, B",Minor,Minor 11th
Fm11,"F, G#, C, D#, G, A#",Minor,Minor 11th
G#m11,"G#, B, D#, F#, A#, C#",Minor,Minor 11th
Gbm11,"Gb, A, Db, E, Ab, B",Minor,Minor 11th
Gm11,"G, A#, D, F, A, C",Minor,Minor 11th
A#m7,"A#, C#, F, G#",Minor,Minor 7th
Abm7,"Ab, B, Eb, Gb",Minor,Minor 7th
Am7,"A, C, E, G",Minor,Minor 7th
Bbm7,"Bb, Db, F, Ab",Minor,Minor 7th
Bm7,"B, D, F#, A",Minor,Minor 7th
C#m7,"C#, E, G#, B",Minor,Minor 7th
Cm7,"C, D#, G, A#",Minor,Minor 7th
D#m7,"D#, F#, A#, C#",Minor,Minor 7th
Dbm7,"Db, E, Ab, B",Minor,Minor 7th
Dm7,"D, F, A, C",Minor,Minor 7th
Ebm7,"Eb, Gb, Bb, Db",Minor,Minor 7th
Em7,"E, G, B, D",Minor,Minor 7th
F#m7,"F#, A, C#, E",Minor,Minor 7th
Fm7,"F, G#, C, D#",Minor,Minor 7th
G#m7,"G#, B, D#, F#",Minor,Minor 7th
Gbm7,"Gb, A, Db, E",Minor,Minor 7th
Gm7,"G, A#, D, F",Minor,Minor 7th
A#m9,"A#, C#, F, G#, C",Minor,Minor 9th
Abm9,"Ab, B, Eb, Gb, Bb",Minor,Minor 9th
Am9,"A, C, E, G, B",Minor,Minor 9th
Bbm9,"Bb, Db, F, Ab, C",Minor,Minor 9th
Bm9,"B, D, F#, A, C#",Minor,Minor 9th
C#m9,"C#, E, G#, B, D#",Minor,Minor 9th
Cm9,"C, D#, G, A#, D",Minor,Minor 9th
D#m9,"D#, F#, A#, C#, F",Minor,Minor 9th
Dbm9,"Db, E, Ab, B, Eb",Minor,Minor 9th
Dm9,"D, F, A, C, E",Minor,Minor 9th
Ebm9,"Eb, Gb, Bb, Db, F",Minor,Minor 9th
Em9,"E, G, B, D, F#",Minor,Minor 9th
F#m9,"F#, A, C#, E, G#",Minor,Minor 9th
Fm9,"F, G#, C, D#, G",Minor,Minor 9th
G#m9,"G#, B, D#, F#, A#",Minor,Minor 9th
Gbm9,"Gb, A, Db, E, Ab",Minor,Minor 9th
Gm9,"G, A#, D, F, A",Minor,Minor 9th
A#m(maj7),"A#, C#, F, A",Minor,Minor Major 7th
Abm(maj7),"Ab, B, Eb, G",Minor,Minor Major 7th
Am(maj7),"A, C, E, G#",Minor,Minor Major 7th
Bbm(maj7),"Bb, Db, F, A",Minor,Minor Major 7th
Bm(maj7),"B, D, F#, A#",Minor,Minor Major 7th
C#m(maj7),"C#, E, G#, C",Minor,Minor Major 7th
Cm(maj7),"C, D#, G, B",Minor,Minor Major 7th
D#m(maj7),"D#, F#, A#, D",Minor,Minor Major 7th
Dbm(maj7),"Db, E, Ab, C",Minor,Minor Major 7th
Dm(maj7),"D, F, A, C#",Minor,Minor Major 7th
Ebm(maj7),"Eb, Gb, Bb, D",Minor,Minor Major 7th
Em(maj7),"E, G, B, D#",Minor,Minor Major 7th
F#m(maj7),"F#, A, C#, F",Minor,Minor Major 7th
Fm(maj7),"F, G#, C, E",Minor,Minor Major 7th
G#m(maj7),"G#, B, D#, G",Minor,Minor Major 7th
Gbm(maj7),"Gb, A, Db, F",Minor,Minor Major 7th
Gm(maj7),"G, A#, D, F#",Minor,Minor Major 7th
A#m,"A#, C#, F",Minor,Triad
Abm,"Ab, B, Eb",Minor,Triad
Am,"A, C, E",Minor,Triad
Bbm,"Bb, Db, F",Minor,Triad
Bm,"B, D, F#",Minor,Triad
C#m,"C#, E, G#",Minor,Triad
Cm,"C, D#, G",Minor,Triad
D#m,"D#, F#, A#",Minor,Triad
Dbm,"Db, E, Ab",Minor,Triad
Dm,"D, F, A",Minor,Triad
Ebm,"Eb, Gb, Bb",Minor,Triad
Em,"E, G, B",Minor,Triad
F#m,"F#, A, C#",Minor,Triad
Fm,"F, G#, C",Minor,Triad
G#m,"G#, B, D#",Minor,Triad
Gbm,"Gb, A, Db",Minor,Triad
Gm,"G, A#, D",Minor,Triad
A#sus2,"A#, C, F",Suspended,Sus2
Absus2,"Ab, Bb, Eb",Suspended,Sus2
Asus2,"A, B, E",Suspended,Sus2
Bbsus2,"Bb, C, F",Suspended,Sus2
Bsus2,"B, C#, F#",Suspended,Sus2
C#sus2,"C#, D#, G#",Suspended,Sus2
Csus2,"C, D, G",Suspended,Sus2
D#sus2,"D#, F, A#",Suspended,Sus2
Dbsus2,"Db, Eb, Ab",Suspended,Sus2
Dsus2,"D, E, A",Suspended,Sus2
Ebsus2,"Eb, F, Bb",Suspended,Sus2
Esus2,"E, F#, B",Suspended,Sus2
F#sus2,"F#, G#, C#",Suspended,Sus2
Fsus2,"F, G, C",Suspended,Sus2
G#sus2,"G#, A#, D#",Suspended,Sus2
Gbsus2,"Gb, Ab, Db",Suspended,Sus2
Gsus2,"G, A, D",Suspended,Sus2
A#sus4,"A#, D#, F",Suspended,Sus4
Absus4,"Ab, Db, Eb",Suspended,Sus4
Asus4,"A, D, E",Suspended,Sus4
Bbsus4,"Bb, Eb, F",Suspended,Sus4
Bsus4,"B, E, F#",Suspended,Sus4
C#sus4,"C#, F#, G#",Suspended,Sus4
Csus4,"C, F, G",Suspended,Sus4
D#sus4,"D#, G#, A#",Suspended,Sus4
Dbsus4,"Db, Gb, Ab",Suspended,Sus4
Dsus4,"D, G, A",Suspended,Sus4
Ebsus4,"Eb, Ab, Bb",Suspended,Sus4
Esus4,"E, A, B",Suspended,Sus4
F#sus4,"F#, B, C#",Suspended,Sus4
Fsus4,"F, A#, C",Suspended,Sus4
G#sus4,"G#, C#, D#",Suspended,Sus4
Gbsus4,"Gb, B, Db",Suspended,Sus4
Gsus4,"G, C, D",Suspended,Sus4
